player_name,age,height,weight,overall_rating,penalties,nb_match,aggression,preferred_foot
Stephane Ruffier,30,187.96,198,83,25,22,31,right
Steve Mandanda,31,185.42,181,83,11,18,37,right
Thiago Alcantara,24,175.26,154,83,75,32,67,right
Willian,28,175.26,165,83,60,23,44,right
Aaron Ramsey,26,177.8,154,82,75,40,74,right
Abdulkader Keita,31,182.88,172,82,84,8,75,right
Alex Sandro,25,180.34,172,82,59,34,72,left
Anthony Lopes,26,182.88,179,82,16,31,35,left
Aritz Aduriz,35,182.88,172,82,76,25,83,right
Asmir Begovic,28,200.66,183,82,40,24,42,right
Borja Valero,31,175.26,161,82,72,36,53,right
Carlos Bacca,30,180.34,170,82,75,26,68,right
Cesar Azpilicueta,27,177.8,165,82,66,26,76,right
Clarence Seedorf,37,177.8,176,82,79,18,40,right
Daniel Carvajal,24,172.72,161,82,45,15,83,right
Daniel Parejo,27,180.34,165,82,83,30,72,right
Daniele De Rossi,33,185.42,183,82,75,40,84,right
Demba Ba,30,187.96,187,82,89,30,63,right
Diego Alves,31,187.96,183,82,24,21,44,left
Fabio Cannavaro,37,175.26,165,82,83,6,81,right
Fernando Muslera,30,190.5,185,82,24,37,32,right
Filipe Luis,31,182.88,170,82,65,25,75,left
Gary Cahill,31,193.04,190,82,53,28,78,right
Granit Xhaka,24,185.42,181,82,59,32,89,left
Grzegorz Krychowiak,26,185.42,187,82,78,21,89,right
Harry Kane,23,187.96,143,82,82,46,74,right
Hatem Ben Arfa,29,177.8,163,82,87,38,67,left
Iker Casillas,35,185.42,185,82,24,22,23,left
Jan Oblak,23,185.42,192,82,11,25,44,right
Jan Vertonghen,29,187.96,190,82,68,27,83,left
Javier Hernandez,28,175.26,161,82,80,25,59,right
Jeremy Mathieu,33,187.96,185,82,60,21,81,left
Jeremy Toulalan,33,182.88,170,82,56,22,82,right
Julian Draxler,23,187.96,165,82,63,30,48,right
Kamil Glik,28,190.5,176,82,39,30,86,right
Karim Bellarabi,26,182.88,176,82,57,28,49,right
Kevin Trapp,26,187.96,194,82,17,22,30,right
Keylor Navas,30,185.42,172,82,25,23,32,right
Lars Bender,27,185.42,176,82,52,26,78,right
Lassana Diarra,31,172.72,161,82,49,28,87,right
Ledley King,32,187.96,190,82,32,9,85,right
Leighton Baines,32,170.18,154,82,90,32,74,left
Loic Perrin,30,180.34,179,82,68,25,81,right
Lorenzo Insigne,25,162.56,130,82,61,34,34,right
Marc-Andre ter Stegen,24,187.96,187,82,25,23,43,right
Marcelo Jose Bordon,33,187.96,198,82,80,5,87,left
Marek Hamsik,29,182.88,174,82,70,32,56,right
Mario Mandzukic,30,190.5,187,82,76,32,88,right
Morgan Schneiderlin,27,180.34,165,82,56,34,85,right
Nani,30,175.26,146,82,72,41,62,right
Nolito,30,175.26,159,82,74,29,73,right
Olivier Giroud,30,193.04,194,82,81,36,76,left
Oscar,25,177.8,148,82,68,30,31,right
Pablo Zabaleta,31,177.8,168,82,64,24,88,right
Radamel Falcao,30,177.8,159,82,84,27,70,right
Raphael Varane,22,190.5,172,82,43,19,73,right
Ricardo Rodriguez,24,180.34,170,82,82,29,79,left
Roberto Firmino,25,180.34,168,82,72,34,64,right
Romelu Lukaku,23,190.5,207,82,80,39,72,left
Salvatore Sirigu,28,193.04,176,82,19,17,34,right
Samir Nasri,29,175.26,165,82,77,36,33,right
Sebastian Giovinco,29,165.1,130,82,75,48,73,right
Shinji Kagawa,27,175.26,150,82,78,30,30,right
Shkodran Mustafi,23,182.88,181,82,54,20,77,right
Stephan Lichtsteiner,32,182.88,165,82,66,44,83,right
Sven Bender,27,185.42,176,82,52,28,88,right
Thiago Motta,34,187.96,183,82,70,25,90,left
Toby Alderweireld,27,185.42,179,82,60,36,79,right
Wesley Sneijder,32,170.18,159,82,76,32,65,right
Yacine Brahimi,26,175.26,146,82,75,53,46,right
Yann Sommer,27,182.88,174,82,24,33,38,right
Yevheniy Konoplyanka,27,175.26,152,82,75,6,48,right
Alvaro Negredo,31,185.42,190,81,80,38,80,left
Ander Herrera,27,182.88,161,81,79,22,82,right
Ander Iturraspe,27,187.96,165,81,59,24,66,right
Andre-Pierre Gignac,31,187.96,185,81,78,29,80,right
Andrea Pirlo,37,177.8,150,81,83,46,49,right
Andres Guardado,30,170.18,148,81,77,34,63,left
Antonio Candreva,29,180.34,154,81,86,43,66,right
Asamoah Gyan,27,180.34,170,81,70,8,62,right
Ashley Williams,31,182.88,201,81,45,24,83,right
Axel Witsel,27,185.42,161,81,81,23,78,right
Aymen Abdennour,26,187.96,185,81,51,18,86,left
Benoit Costil,28,187.96,190,81,15,20,22,right
Benoit Tremoulinas,30,172.72,143,81,77,22,72,left
Bruno Soriano,32,182.88,161,81,75,27,79,left
Carlos Vela,27,177.8,165,81,72,30,57,left
Danijel Subasic,31,190.5,185,81,23,20,31,right
David Villa,35,175.26,152,81,92,24,61,right
Dean Ashton,27,185.42,172,81,79,6,82,right
Didier Drogba,38,187.96,176,81,84,34,79,right
Domenico Berardi,22,182.88,159,81,84,41,80,left
Dries Mertens,29,170.18,134,81,78,38,59,right
Ever Banega,28,175.26,157,81,67,33,77,right
Fabrizio Miccoli,34,167.64,161,81,88,13,55,right
Gabi,33,180.34,163,81,83,24,76,right
Gary Medel,29,170.18,168,81,62,44,90,right
Gonzalo Castro,29,172.72,163,81,55,48,63,right
Gonzalo Rodriguez,32,182.88,174,81,74,38,78,right
Ivan Perisic,27,185.42,179,81,76,28,59,right
Jack Wilshere,24,172.72,150,81,65,36,83,left
Jasper Cillessen,27,185.42,183,81,21,30,25,right
Jeremy Menez,29,182.88,161,81,84,36,48,right
Joel Matip,25,195.58,198,81,42,30,70,right
Jose Fonte,33,187.96,179,81,43,31,84,right
Jose Gimenez,21,185.42,176,81,38,14,90,right
Jose Maria Callejon,29,177.8,161,81,62,38,54,right
Jose Maria Guti,35,182.88,172,81,78,8,71,left
Juan Cuadrado,28,177.8,157,81,65,41,69,right
Kaka,34,185.42,183,81,84,54,45,right
Klaas Jan Huntelaar,33,185.42,183,81,56,28,65,right
Lucas Biglia,30,177.8,139,81,72,37,83,right
Lucas Moura,24,172.72,159,81,75,15,67,right
Mamadou Sakho,26,187.96,183,81,40,29,85,left
Mario Gomez,31,187.96,194,81,74,34,72,right
Marquinhos,21,182.88,165,81,31,15,80,right
Martin Laursen,32,190.5,183,81,72,4,85,right
Martin Skrtel,31,190.5,179,81,52,23,84,right
Mateo Pablo Musacchio,26,182.88,165,81,57,26,78,right
Matteo Darmian,27,182.88,154,81,45,44,82,right
Mattia Perin,24,187.96,163,81,21,21,25,right
Max Kruse,28,180.34,168,81,84,31,65,left
Mickael Landreau,35,182.88,185,81,25,14,24,right
Nemanja Vidic,35,190.5,194,81,43,28,81,right
Nuri Sahin,28,180.34,161,81,38,32,56,left
Omer Toprak,27,187.96,183,81,48,19,73,right
Patrice Evra,35,175.26,163,81,57,34,76,left
Patrick Herrmann,24,177.8,154,81,61,28,58,right
Paulo Dybala,23,175.26,161,81,76,39,48,left
Pepe Reina,34,187.96,203,81,24,30,32,right
Phil Jagielka,33,182.88,183,81,68,24,79,right
Raffael,31,175.26,152,81,72,32,66,right
Raheem Sterling,22,170.18,152,81,63,33,34,right
Raul,35,180.34,150,81,76,27,51,left
Raul Albiol,31,190.5,181,81,37,26,79,right
Raul Garcia,30,182.88,179,81,76,27,83,right
Riyad Mahrez,25,177.8,137,81,71,36,39,left
Robin van Persie,33,187.96,157,81,84,38,55,left
Rui Patricio,28,190.5,185,81,32,33,39,left
Sami Khedira,29,187.96,198,81,61,30,79,right
Seamus Coleman,27,177.8,170,81,60,30,78,right
Serge Aurier,24,175.26,168,81,66,22,81,right
Sergio Asenjo,27,187.96,192,81,15,23,20,right
Sofiane Feghouli,27,177.8,165,81,62,26,55,right
Stefan Savic,24,185.42,161,81,37,27,85,right
Stefan de Vrij,24,187.96,172,81,41,27,75,right
Steven Gerrard,36,182.88,183,81,85,36,85,right
Theo Walcott,27,175.26,150,81,74,33,65,right
Timo Horn,23,193.04,198,81,21,26,41,left
Vicente Iborra,28,195.58,194,81,72,28,78,right
Victor Valdes,34,182.88,172,81,26,22,36,right
Vincent Enyeama,33,182.88,192,81,75,15,59,right
Vitolo,27,182.88,174,81,74,23,62,right
William Carvalho,24,187.96,183,81,56,38,81,right
Adam Lallana,28,172.72,161,80,70,39,46,right
Aderlan Santos,27,193.04,183,80,60,25,82,right
Adrien Silva,27,175.26,152,80,85,48,77,right
Alexandre Pato,27,180.34,179,80,77,30,63,right
Allan,25,175.26,163,80,53,38,82,right
Alphonse Areola,23,190.5,201,80,25,23,26,right
Alvaro Morata,24,187.96,187,80,74,42,56,right
Andre Andre,27,175.26,143,80,86,33,82,right
Andre Gomes,23,187.96,185,80,55,31,80,right
Andrea Consigli,29,187.96,181,80,21,25,11,right
Aurelien Chedjou,31,182.88,190,80,57,50,80,right
Bacary Sagna,33,175.26,159,80,59,34,75,right
Benat Etxebarria,29,175.26,159,80,69,26,80,right
Bojan Krkic,26,170.18,143,80,68,34,30,right
Branislav Ivanovic,32,185.42,201,80,58,31,90,right
Bruno Peres,26,177.8,159,80,59,32,70,right
Cedric Bakambu,25,182.88,161,80,72,35,62,right
Cedric Carrasso,34,187.96,192,80,13,21,43,right
Christian Benteke,26,190.5,183,80,77,28,76,right
Clint Dempsey,33,185.42,185,80,71,40,70,right
Coke,28,175.26,159,80,74,22,74,right
Daniel Carrico,27,180.34,176,80,62,18,89,right
Danilo Pereira,25,187.96,176,80,43,30,89,right
Dante,33,187.96,192,80,57,30,73,left
Diego Benaglio,33,193.04,196,80,23,21,38,right
Dimitar Berbatov,35,187.96,165,80,86,25,42,right
Edin Dzeko,30,193.04,185,80,70,31,51,right
Emiliano Viviano,31,195.58,198,80,21,28,18,left
Eric Bertrand Bailly,22,187.96,170,80,46,17,86,right
Erik Lamela,24,182.88,154,80,75,32,67,left
Fabian Orellana,29,170.18,154,80,75,26,54,right
Fabio Coentrao,28,177.8,154,80,54,21,82,left
Fernando Llorente,30,195.58,198,80,70,42,71,right
Francisco Alcacer,23,175.26,157,80,71,33,59,right
Francisco Casilla,30,190.5,185,80,23,22,45,right
Franco Vazquez,27,185.42,181,80,63,33,55,left
Fredy Guarin,30,182.88,170,80,74,45,85,right
Georginio Wijnaldum,26,175.26,163,80,74,20,61,right
Gerard Deulofeu,21,177.8,161,80,70,20,40,right
Gervinho,29,177.8,146,80,63,43,51,right
Giacomo Bonaventura,27,180.34,165,80,68,41,66,right
Grafite,32,187.96,194,80,86,8,86,right
Hernanes,31,180.34,170,80,80,41,56,right
Holger Badstuber,27,190.5,185,80,64,25,77,left
Ignacio Camacho,26,182.88,165,80,48,25,86,right
Iker Muniain,24,170.18,139,80,62,25,67,right
Inigo Martinez,25,180.34,170,80,39,19,86,left
Islam Slimani,28,187.96,185,80,72,38,88,right
James McCarthy,25,180.34,159,80,60,21,79,right
James Milner,30,175.26,154,80,81,36,71,right
Jardel,30,193.04,187,80,57,26,84,right
Javi Fuego,32,182.88,163,80,60,25,85,right
Javi Garcia,28,185.42,176,80,61,20,89,right
Jefferson Farfan,31,177.8,185,80,79,27,73,right
Jese Rodriguez,23,177.8,161,80,68,20,29,right
Jesus Navas,31,170.18,132,80,56,34,50,right
Joao Mario,23,177.8,161,80,59,32,61,right
Jose Gaya,21,172.72,141,80,52,22,74,left
Jose Sosa,31,180.34,170,80,75,40,69,right
Josip Ilicic,28,190.5,174,80,78,31,58,left
Kalidou Koulibaly,25,195.58,196,80,33,30,86,right
Kevin Mirallas,28,182.88,154,80,75,25,48,right
Kevin Strootman,26,185.42,172,80,71,38,75,left
Kevin Volland,24,177.8,181,80,72,32,75,left
Lars Stindl,28,180.34,172,80,70,33,70,right
Lavyin Kurzawa,23,182.88,163,80,62,18,75,left
Loic Remy,29,185.42,176,80,78,29,57,right
Loris Karius,23,190.5,192,80,19,38,18,right
Lukasz Piszczek,31,182.88,174,80,65,27,83,right
Manuel Trigueros,25,177.8,154,80,65,21,68,right
Marc Bartra,24,182.88,163,80,52,19,63,right
Marco Parolo,31,182.88,165,80,45,30,80,right
Mario Gaspar,26,177.8,154,80,50,24,77,right
Marko Basa,34,190.5,190,80,64,19,81,right
Martin Caceres,29,180.34,172,80,50,47,80,right
Martin Stranzl,36,190.5,183,80,56,22,82,right
Mathieu Valbuena,32,167.64,128,80,65,26,52,right
Mauro Icardi,23,180.34,165,80,74,38,35,right
Maxime Gonalons,27,187.96,168,80,71,28,86,right
Michael Ballack,36,187.96,194,80,91,10,82,right
Michael Carrick,35,187.96,163,80,64,31,67,right
Michel Vorm,33,182.88,190,80,41,25,23,right
Miguel Angel Moya,32,187.96,181,80,11,23,22,right
Mikel San Jose,27,185.42,170,80,52,29,74,right
Mohamed Salah,24,175.26,159,80,61,25,63,left
Moussa Dembele,29,185.42,181,80,67,50,74,left
Nacho Monreal,30,177.8,159,80,61,33,74,left
Nathaniel Clyne,24,175.26,148,80,46,32,76,right
Nicolas N'Koulou,26,180.34,170,80,50,24,79,right
Nikola Maksimovic,25,193.04,181,80,26,17,79,right
Oscar de Marcos,27,180.34,168,80,56,28,76,right
Paul Scholes,39,170.18,157,80,77,13,87,right
Pavel Nedved,37,177.8,154,80,84,4,81,right
Phil Jones,24,185.42,157,80,55,29,85,right
Quincy Promes,24,175.26,154,80,72,23,60,right
Ramires,29,180.34,154,80,67,26,79,right
Rene Adler,31,190.5,192,80,21,30,25,right
Ricardo Quaresma,33,175.26,148,80,74,29,62,right
Robbie Keane,36,175.26,161,80,75,39,67,right
Roberto Pereyra,25,182.88,170,80,72,56,68,right
Roman Buerki,26,187.96,187,80,20,31,35,right
Ron-Robert Zieler,27,187.96,183,80,24,26,32,right
Ross Barkley,23,187.96,168,80,65,27,73,right
Ryan Shawcross,28,190.5,168,80,48,25,85,right
Sami Hyypiae,38,195.58,194,80,52,8,77,right
Samuel Eto'o,35,177.8,165,80,85,27,75,right
Samuel Umtiti,23,180.34,165,80,61,27,79,left
Simon Kjaer,26,187.96,198,80,46,23,80,right
Stevan Jovetic,27,182.88,174,80,80,34,50,right
Steve Savidan,31,175.26,154,80,83,4,62,right
Thomas Vermaelen,31,182.88,176,80,66,33,77,left
Tiago,35,182.88,157,80,57,32,83,right
Vedran Corluka,30,193.04,185,80,49,24,81,right
Victor Ruiz,27,185.42,172,80,46,18,80,left
Vieirinha,30,172.72,161,80,66,29,75,right
Wilfried Bony,28,182.88,198,80,77,31,70,right
Winston Reid,28,190.5,192,80,55,29,84,right
Xherdan Shaqiri,25,170.18,159,80,65,21,64,left
Yannick Ferreira-Carrasco,23,180.34,146,80,74,17,61,right
Yohan Cabaye,30,175.26,157,80,84,29,77,right
Adem Ljajic,25,182.88,163,79,76,42,44,right
Adil Rami,30,190.5,194,79,48,35,82,right
Aleix Vidal,27,177.8,152,79,51,25,82,right
Alessandro Florenzi,25,172.72,148,79,76,44,79,right
Andre Ayew,27,175.26,159,79,71,24,78,left
Andre Carrillo,25,180.34,161,79,68,25,47,right
Andre Schuerrle,26,182.88,163,79,81,23,64,right
Andrea Raggi,31,187.96,181,79,57,25,84,right
Andreas Granqvist,31,193.04,185,79,79,23,81,right
Angelo Obinze Ogbonna,28,190.5,190,79,39,38,70,left
Antonio Cassano,34,175.26,176,79,79,37,29,right
Ashley Young,31,175.26,143,79,65,29,47,right
Asier Illarramendi,26,177.8,168,79,50,20,69,right
Augusto Fernandez,30,177.8,157,79,62,23,80,right
Bas Dost,27,195.58,187,79,76,25,67,right
Ben Foster,32,193.04,198,79,41,20,15,left
Bernardo Silva,21,172.72,143,79,64,15,58,left
Carlos Gurpegi,35,180.34,165,79,52,24,87,right
Carlos Kameni,32,185.42,190,79,24,22,34,right
Casemiro,24,182.88,176,79,66,24,87,right
Ciro Immobile,26,185.42,172,79,71,46,73,right
Cristian Daniel Ansaldi,30,180.34,168,79,52,21,73,left
Daley Blind,26,180.34,159,79,56,40,68,left
Daniel Baier,31,175.26,170,79,62,26,68,right
Daniel Didavi,26,180.34,172,79,65,27,68,left
Danny Welbeck,26,185.42,161,79,70,28,77,right
Davide Astori,29,187.96,176,79,27,36,78,left
Davy Klaassen,22,177.8,154,79,70,30,76,right
Dejan Lovren,27,187.96,185,79,52,24,87,right
Denis Cheryshev,26,177.8,163,79,64,22,68,left
Denis Suarez,22,180.34,159,79,63,34,47,right
Diego Lopez,35,195.58,192,79,21,25,36,right
Diego Perotti,28,177.8,154,79,62,31,51,right
Domenico Criscito,30,182.88,165,79,50,29,84,left
Dusan Basta,32,182.88,159,79,55,35,76,right
Eder Citadin Martins,30,177.8,163,79,75,37,60,right
Eduardo Salvio,25,172.72,150,79,60,32,69,right
Eliaquim Mangala,25,187.96,185,79,46,40,90,left
Enzo Perez,29,177.8,157,79,82,31,86,right
Federico Marchetti,33,187.96,183,79,22,26,36,left
Felipe Anderson,23,175.26,154,79,53,27,31,right
Felipe Melo,33,182.88,176,79,74,39,91,right
Fernando Torres,32,185.42,172,79,73,32,62,right
Filip Kostic,24,182.88,181,79,67,24,65,left
Francesco Acerbi,28,193.04,194,79,55,30,73,left
Francesco Totti,40,180.34,181,79,86,40,69,right
Francis Coquelin,25,177.8,163,79,52,34,88,right
Gabriel Milito,32,177.8,172,79,59,10,82,left
Gael Clichy,31,175.26,143,79,45,33,55,left
Gareth Barry,34,182.88,174,79,72,27,80,left
Geronimo Rulli,24,187.96,176,79,24,18,26,right
Giovani dos Santos,27,175.26,163,79,70,32,53,left
Gokhan Tore,24,175.26,154,79,70,32,79,left
Gorka Iraizoz Moreno,35,190.5,196,79,13,25,38,right
Guillermo Ochoa,30,185.42,172,79,16,17,19,right
Gylfi Sigurdsson,27,185.42,170,79,80,32,57,right
Hakan Calhanoglu,22,177.8,168,79,76,33,57,right
Hector Moreno,28,182.88,176,79,63,19,78,left
Ibrahima Traore,28,172.72,134,79,56,34,42,left
Jack Butland,23,195.58,209,79,42,31,32,right
Jamie Vardy,29,177.8,161,79,76,30,91,right
Jefferson Nascimento,28,177.8,163,79,63,31,78,left
Jeison Murillo,24,182.88,172,79,46,19,79,right
Jens Lehmann,41,190.5,192,79,74,5,78,right
Jeremain Lens,29,177.8,161,79,67,22,53,right
Jeroen Zoet,25,187.96,187,79,27,24,18,right
Jo,27,187.96,172,79,71,20,49,left
Joaquin,35,177.8,165,79,75,38,53,right
Johannes Geis,23,180.34,179,79,75,41,76,right
Jonathan dos Santos,26,172.72,150,79,59,19,59,right
Jonathas,27,190.5,187,79,78,36,81,right
Jordan Henderson,26,182.88,148,79,64,39,78,right
Jose Antonio Reyes,32,175.26,159,79,72,25,51,left
Jose Salomon Rondon,26,187.96,187,79,62,22,72,right
Joshua Guilavogui,26,187.96,170,79,50,26,82,right
Juan Bernat,22,170.18,148,79,53,23,74,left
Kevin Gameiro,29,172.72,154,79,77,22,66,right
Kevin Kampl,26,177.8,143,79,64,37,64,right
Kieran Gibbs,27,177.8,154,79,63,35,72,left
Konstantinos Mitroglou,28,187.96,187,79,61,30,80,left
Kurt Zouma,22,190.5,187,79,61,22,82,right
Kwadwo Asamoah,28,172.72,168,79,64,45,68,left
Kyle Walker,26,177.8,154,79,63,35,78,right
Landon Donovan,33,172.72,161,79,74,46,62,right
Leandro Castan,30,182.88,176,79,40,30,82,left
Lucas Leiva,29,177.8,161,79,61,22,83,right
Lucas Perez,28,180.34,172,79,77,19,69,left
Lucas Pratto,28,187.96,181,79,81,20,72,right
Luis Jimenez,28,182.88,165,79,73,11,66,right
Luisao,35,193.04,203,79,66,32,84,right
Luiz Adriano,29,182.88,157,79,76,15,38,right
Maicon,28,190.5,181,79,52,73,88,right
Manuel Fernandes,30,175.26,152,79,72,17,68,right
Mario Balotelli,26,187.96,194,79,92,46,69,right
Mark van Bommel,36,185.42,190,79,78,13,91,right
Marko Arnautovic,27,193.04,183,79,78,33,73,right
Mathieu Debuchy,31,177.8,168,79,66,21,80,right
Matija Nastasic,22,187.96,183,79,47,23,75,left
Max Meyer,21,172.72,150,79,53,41,61,right
Max-Alain Gradel,29,175.26,152,79,75,28,55,right
Maximiliano Pereira,32,172.72,161,79,69,37,92,right
Maxwell,35,175.26,161,79,59,22,74,left
Mbark Boussoufa,32,167.64,134,79,71,26,65,right
Memphis Depay,22,175.26,172,79,66,35,62,right
Michael Bradley,29,187.96,174,79,71,54,81,right
Michael Krohn-Dehli,33,170.18,150,79,76,30,67,right
Michy Batshuayi,23,180.34,172,79,67,29,59,right
Miguel Veloso,29,180.34,172,79,73,16,71,left
Mikel Balenziaga,28,177.8,168,79,45,23,78,left
Mirko Vucinic,31,185.42,168,79,80,33,56,right
Miroslav Klose,38,182.88,185,79,77,34,48,right
Moussa Sissoko,27,187.96,183,79,68,29,77,right
Moussa Sow,29,180.34,179,79,72,18,68,right
N'Golo Kante,25,170.18,152,79,54,25,90,right
Nabil Fekir,22,172.72,159,79,70,27,77,left
Neven Subotic,28,190.5,183,79,43,28,82,right
Nigel de Jong,32,175.26,159,79,58,35,88,right
Niklas Suele,21,195.58,205,79,32,24,75,right
Obafemi Martins,32,170.18,161,79,64,47,62,left
Orestis Karnezis,31,190.5,174,79,21,25,18,right
Pablo Piatti,27,162.56,139,79,59,28,55,left
Paul-Georges Ntep,24,180.34,165,79,70,19,75,right
Paulinho,27,182.88,170,79,70,63,68,right
Paulo Oliveira,24,187.96,181,79,45,26,72,right
Pizzi,27,172.72,146,79,76,43,68,right
Pontus Wernbloom,30,187.96,187,79,66,21,89,right
Rafinha,23,175.26,157,79,67,75,44,left
Rasmus Elm,28,182.88,165,79,85,20,75,right
Remy Cabella,26,170.18,150,79,73,24,47,right
Ricardo Oliveira,36,182.88,183,79,76,10,63,right
